status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5550296508_10155848606051509,"The Vikings' home stadium in Minneapolis is named U.S. Bank Stadium, and the Minneapolis-based bank is reportedly a major investor in the controversial project.",#NoDAPL banner at Vikings game ends in arrests,link,http://cnn.it/2iWszjG,2017-01-01 18:31:45,1324,292,160,1040,156,39,57,8,24
comment: ,NO Dapl Illuminati NwO,-0.2,0.2
comment: ,First comment Annie Stone,0.2,0.2
comment: ,Make sure you get them on CNN..,0,0
comment: ,Millennials ????????,-0.3,0.3
comment: ,Dan Lischak,0.3,0.3
comment: ,I applaud their initiative,0.6,0.6
comment: ,This is kind of like the trump protests. Doing nothing and annoying people,-0.2,0.5
comment: ,Crazy kids... lol Lock em' up!,0.5,0.5
comment: ,Good evening for all : Thank you for go on my page,0.7,0.7
comment: ,Mdr,0.1,0.1
comment: ,"If people didnt boldly protest and risk their lives, we would still be an English colony.",-0.4,0.4
comment: ,Mike Donaldson,0.2,0.2
comment: ,Can't wait for that line to be tied in and done.,0.4,0.4
comment: ,Big deal!,0.5,0.5
comment: ,Michael Petersen they got what they wanted CNN and MSNBC,0,0
comment: ,Doesn't mean this is the same thing,-0.8,0.8
comment: ,How do you know if they where Millennials,-0.2,0.2
comment: ,??????  Powered by ??Taha Sheikh??,-0.2,0.5
comment: ,????,-0.3,0.3
comment: ,Ya,0.2,0.2
comment: ,Where is it written protests need to be convenient and not annoying?,-0.6,0.6
comment: ,"Kinda like what our founding fathers would have thought, right?",0.3,0.3
comment: ,Protesting because your feelings are hurt isn't protesting it's whining,-0.5,0.5
comment: ,Get ready for your chip implant...,0.6,0.6
comment: ,Get some friends Adam and stop being a troll. Meanwhile people will decide to fight for what they believe in.,0,0.1
5550296508_10155848413371509,"""I do know that if you are one of the people making fun of Carey today, you likely don't do much public speaking or performing"" writes Mel Robbins for CNN Opinion.",How to avoid a Mariah Carey meltdown,link,http://cnn.it/2iWoAUA,2017-01-01 17:50:03,7098,2646,701,5545,262,72,1139,50,30
comment: ,at least i actually sing when someone pays me to sing,-0.2,0.2
comment: ,Praise White Jesus!,0.6,0.6
comment: ,She was miming FFS. No sympathy at all.,-0.7,1.4
comment: ,She was drunk,-0.1,0.1
comment: ,We know. We just don't like her.,0,0.5
comment: ,Yea bc CNN does most of their hating behind a keyboard not in public as well,0,0
comment: ,I could not care less about this...,-0.3,0.3
comment: ,I don't lip-synch.,-0.1,0.1
comment: ,Too full of herself.,-0.4,0.4
comment: ,Yep!,0.4,0.4
comment: ,If she was actually singing she would have been fine. But when you lip sync and you don't remember your own songs. You're a hack.,0,0.6
comment: ,Rest in peace Mariah Carey vocals,0.6,0.6
